IDADE;SEXO;RENDA;REST_MOB;VINC;CURSO;SEM;PROAE;CURSO_MD;ORG_UND;FREQ_20172;ORIGEM1;DESTINO1;FREQ1;MOTIVO1;DESLOC2;ORIGEM2;DESTINO2;FREQ2;MOTIVO2;DESLOC3;ORIGEM3;DESTINO3;FREQ3;MOTIVO3;S_PONT;S_FREQ;S_ACES;S_CONF;S_ESPR;S_INFO;S_TRAT;S_TRAN;S_VIOL;S_SATS;I_PONT;I_FREQ;I_ACES;I_CONF;I_ESPR;I_INFO;I_TRAT;I_TRAN;I_VIOL
51;F;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Artes - Noturno;1º;S;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;ND IMP;PC IMP;IMP;MT IMP;PC IMP;IMP;IMP;MT IMP;MT IMP
26;M;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;9º;S;;;1-4 Semana;Outro Órgão (Não-UFBA);Escola Politécnica;1-4 Semana;Aula no local de destino;Sim;Outro Órgão (Não-UFBA);Restaurante Universitário (Campus Ondina);1-4 Semana;Refeição em Restaurante Universitário;Não;;;;;DC;DC;CP;CP;DP;DC;CP;CP;DC;CP;MT IMP;MT IMP;IMP;IMP;IMP;MT IMP;IMP;IMP;MT IMP
21;M;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia de Agrimensura e Cartográfica;7º;N;;;1-4 Mês;Escola Politécnica;Restaurante Universitário (Campus São Lázaro);1-4 Mês;Refeição em Restaurante Universitário;Sim;Escola Politécnica;Instituto de Matemática;1-4 Mês;Aula no local de destino;Não;;;;;DP;CP;DP;DC;DC;DC;DP;DP;DP;DP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
20;M;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;5º;N;;;1-4 Semana;Escola Politécnica;Reitoria;1-4 Semana;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;;;;;;CP;DC;CC;DC;DP;DP;CC;CC;CP;DP;MT IMP;MT IMP;PC IMP;MT IMP;PC IMP;MT IMP;IMP;MT IMP;MT IMP
23;F;6-9 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia de Minas;3º;N;;;1-4 Semana;Pavilhão de Aulas da Federação I;Escola Politécnica;5-9 Semana;Aula no local de destino;Sim;Pavilhão de Aulas da Federação I;Reitoria;5-9 Semana;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;DC;DP;CP;DC;CP;CP;CP;CP;CP;CP;MT IMP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP
20;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;3º;N;;;1-4 Semana;Reitoria;Pavilhão de Aulas da Federação I;1-4 Semana;Aula no local de destino;Sim;Pavilhão de Aulas da Federação I;Reitoria;1-4 Semana;Outro;Não;;;;;DP;DC;DP;CP;DC;DC;CC;CC;DP;CP;MT IMP;IMP;IMP;PC IMP;IMP;IMP;MT IMP;MT IMP;MT IMP
23;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Oceanografia;11º;N;;;1-4 Mês;Instituto de Geociências;Reitoria;1-4 Mês;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;;;;;;CP;CP;DP;DC;DP;DP;CP;CP;DC;CP;MT IMP;MT IMP;PC IMP;MT IMP;PC IMP;IMP;IMP;MT IMP;MT IMP
21;M;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;3º;N;;;1-4 Semana;Instituto de Matemática;Escola Politécnica;1-4 Semana;Atividade de Pesquisa/Extensão no local de destino;Não;;;;;;;;;;DP;DC;CP;DP;DC;DP;DP;DP;DP;DP;MT IMP;MT IMP;MT IMP;MT IMP;IMP;IMP;PC IMP;IMP;MT IMP
20;M;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;5º;N;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;IMP;IMP;IMP;PC IMP;MT IMP;IMP;MT IMP;MT IMP
25;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Oceanografia;10º;N;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;PC IMP;IMP;IMP;IMP;MT IMP;MT IMP;MT IMP
25;M;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;10º;N;;;1-4 Semana;Escola Politécnica;Restaurante Universitário (Campus Ondina);1-4 Semana;Refeição em Restaurante Universitário;Não;;;;;;;;;;CP;DP;CC;DC;CP;DP;CC;CC;CP;CP;MT IMP;MT IMP;IMP;IMP;IMP;IMP;IMP;IMP;MT IMP
24;M;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;9º;S;;;5-9 Semana;Restaurante Universitário (Campus Ondina);Escola Politécnica;5-9 Semana;Refeição em Restaurante Universitário;Não;;;;;;;;;;DC;DC;CP;DC;DC;DC;DP;DC;DC;DC;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
26;M;0-1 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;7º;S;;;5-9 Semana;Instituto Feminino;Escola Politécnica;5-9 Semana;Aula no local de destino;Sim;Restaurante Universitário (Campus Ondina);Instituto Feminino;5-9 Semana;Refeição em Restaurante Universitário;Não;;;;;CP;DP;DP;DC;DP;DP;CP;CP;DC;DP;MT IMP;MT IMP;IMP;IMP;IMP;MT IMP;IMP;MT IMP;MT IMP
21;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Nutrição;5º;S;;;1-4 Semana;Reitoria;Faculdade de Filosofia Ciências Humanas;1-4 Semana;Aula no local de destino;Sim;Escola de Administração;Faculdade de Farmácia;1-4 Semana;Aula no local de destino;Não;;;;;CP;DC;CP;DP;DP;DP;CP;CP;DP;DC;IMP;MT IMP;MT IMP;IMP;IMP;IMP;IMP;IMP;MT IMP
18;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Ciências Sociais (Lic. e Bach.);1º;N;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;IMP;MT IMP;IMP;IMP;IMP;MT IMP;MT IMP
28;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Mest;;;;Antropologia;;1-4 Semana;Reitoria;Restaurante Universitário (Campus São Lázaro);1-4 Semana;Aula no local de destino;Não;;;;;;;;;;DC;DC;CP;DP;CP;DP;CP;DP;DC;DP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
27;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Engenharia Civil;3º;N;;;1-4 Semana;Escola Politécnica;Reitoria;1-4 Semana;Aula no local de destino;Sim;Pavilhão de Aulas da Federação I;Escola Politécnica;1-4 Semana;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;DC;DC;CP;DC;CP;CC;CP;CC;DC;CP;MT IMP;MT IMP;MT IMP;IMP;PC IMP;MT IMP;IMP;MT IMP;MT IMP
25;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Ciência e Tecnologia;1º;N;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;MT IMP;IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP
20;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Humanidades - Noturno;5º;N;;;1-4 Semana;Instituto de Matemática;Faculdade de Direito;1-4 Semana;Aula no local de destino;Sim;Instituto de Matemática;Restaurante Universitário (Campus São Lázaro);1-4 Mês;Refeição em Restaurante Universitário;Não;;;;;DC;DC;CC;DC;DC;CP;CP;CC;DC;DC;MT IMP;MT IMP;MT IMP;IMP;IMP;MT IMP;MT IMP;MT IMP;MT IMP
25;F;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Química (Lic.);10º;N;;;1-4 Semestre;Faculdade de Arquitetura;Pavilhão de Aulas da Federação I;1-4 Semestre;Tomar outro ônibus em local que o BUZUFBA passa;Não;;;;;;;;;;CP;DC;CP;DC;DC;DC;CC;CP;DC;DP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP;MT IMP
37;M;3-6 SM;PcD Visual, PcD Auditiva;STA;;;;;Pró-Reitoria de Ações Afirmativas e Assistência Estudantil;1-4 Semana;Pró-Reitoria de Ações Afirmativas e Assistência Estudantil;Faculdade de Direito;1-4 Semana;Aula no local de destino;Sim;Faculdade de Direito;Escola Politécnica;1-4 Semana;Outro;Não;;;;;CP;DP;CC;CP;DC;DP;CC;CC;CP;CP;MT IMP;MT IMP;MT IMP;IMP;IMP;MT IMP;IMP;MT IMP;MT IMP
20;F;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Ciências Sociais (Lic. e Bach.);1º;N;;;Nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;MT IMP;MT IMP;IMP;PC IMP;PC IMP;MT IMP;PC IMP;MT IMP;MT IMP
30;M;3-6 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Transporte Terrestre: Gestão do Transporte e Trânsito;3º;N;;;1-4 Mês;Reitoria;Escola Politécnica;1-4 Mês;Aula no local de destino;Sim;Restaurante Universitário (Campus Ondina);Escola Politécnica;1-4 Semana;Aula no local de destino;Não;;;;;DP;DC;DP;DC;DC;DP;DP;DC;DC;DC;MT IMP;MT IMP;MT IMP;MT IMP;IMP;MT IMP;IMP;MT IMP;MT IMP
21;M;1-3 SM;Não tenho nenhuma restrição de mobilidade.;Grad;Direito - Noturno;4º;S;;;1-4 Semana;Restaurante Universitário (Campus Ondina);Faculdade de Direito;1-4 Semana;Refeição em Restaurante Universitário;Sim;Reitoria;Restaurante Universitário (Campus Ondina);1-4 Mês;Refeição em Restaurante Universitário;Não;;;;;DC;DC;CP;DC;DC;DC;DC;DC;DC;DC;MT IMP;IMP;IMP;IMP;PC IMP;PC IMP;PC IMP;IMP;MT IMP
